an,"冠詞,一個,一種"
weld,"焊接處,接合部,焊接,使密接,使結合,使成整體,焊牢"
well,"語助詞,喲,啊,哎呀,好的,令人滿意的,健康的,健全的,安好的,恰當的,合適的,可取的,井"
wend,"行,走,前進"
what,"什麼,所,的事物,什麼,多麼,何等,所的,盡可能多的"
when,"何時,什麼時候,當,時,那時,然後"
whet,"在磨刀石上,把,磨快,刺激反,弄鈍,使遲鈍,嘔吐,嘔吐物,催吐劑,嘔吐,大量噴出,吐出,嘔吐"
whim,"一時的興致,幻想,反復無常,怪念頭,奇想"
wick,"記,的身體看上去很,蠟燭芯,燈芯,用于蠟燭或油燈上,使燃料升成火焰,蠟燭心,燈芯,油繩,通過毛細作用帶走"
wide,"寬的,廣闊的,普遍的,寬闊的,廣泛的,一般的,廣闊地,遍及各處地"
wilt,"植物枯萎,凋謝,人變得萎靡不振"
wily,"使用計謀的,有詭計的,狡猾的"
wine,"葡萄酒,果酒,暗紅色,請,喝酒"
wink,"眨眼,使眼色,瞬間,小睡,眨眼,使眼色,閃爍,假裝不見,終止,熄滅"
wise,"明智的,慎慮的,聰明的,賢明的,博學的,明白的,狡猾的"
wish,"希望,願望,祝願,命令,請求,願,想要,希望,祝願,希望"
with,"和,一起,同,具有,帶有,用,以,對,關於,隨著,雖然,盡管"
wolf,"狼,殘忍貪婪之人,極度的窮困,狼吞虎咽,大吃"
wood,"木材,森林,樹林,木製品,供木材給,植林於,收集木材"
wool,"羊毛,毛織物,毛線,絨線"
word,"字,話,消息,詞,諾言,命令,代碼,用言詞表達"
work,"工作,勞動,職業,行為,功,作品,成果,產品,工程,工作,勞動,做,運轉"
worn,"形容詞,用舊的,磨壞的,精疲力盡的,憔悴的"
writ,"記,由法院發布的,書面命令,文書,正式文件,書面命令"
wwwP,NotFoundAnyMeanings
yarn,"動詞,講故事,長談,名詞,紗,紗線,冒險故事"
yawn,"哈欠,打哈欠,張口,打著哈欠說,口,令人生厭的人,物"
year,"年,載,歲,學年,年度"
yoke,"軛,牛軛,束縛,給,上軛,連接,結合,使成配偶,結合,配合"
zeal,"名詞,熱心,熱誠"
zest,"風味,強烈的興趣,熱情,熱心,給,調味"
zone,"動詞,劃出,為區,名詞,地區,時區,地,層"
abase,"降低,使謙卑,降低地位,威望或尊嚴,例,出賣朋友的人實際上是自貶身份根,源自拉丁語,低的,讀音像貝斯,一種低音樂器,參,貶低,底下室"
abash,"使不安,使羞愧,使窘迫"
abbre,NotFoundAnyMeanings
abhor,"憎惡,痛恨例,他痛恨撒謊根發抖,恨,怕參,可怕的,恐怖的,令人討厭的,反,熱愛,非常仰慕"
abide,"遵守,忍受,居留,堅持,忍受"
about,"關於,對於,與,有關,大約,左右,差不多,在周圍,在附近,到處"
above,"形容詞,上文的,前述的,副詞,在上面,在上文,更高,介系詞,在,之上"
abuse,"動詞,濫用,虐待,名詞,濫用,虐待"
abyss,"記沒有,底無底洞深淵,深淵,深坑,例,絕望的深淵,深淵"
acorn,"記它是由,和,谷物,兩個詞組成的,橡實,橡子,橡樹果實為木質,是單一種子,有厚壁,源它是由,和,谷物,兩個詞組成的,植橡樹果,橡子"
acrid,"記源於拉丁語表示尖銳,酸辛辣的,刻薄的,辛辣的,令人不愉快的辛辣,苦澀的,言語或語調,刻薄的,例,言語尖刻的演說,苦藥,類,刺耳的聲音辛辣的味道,辛辣的,言語或語調,刻薄的"
actor,"男演員,行動者,參與者"
acute,"敏銳的,激烈的,尖銳的,嚴重的"
adage,"記廣告,時代廣告時代,格言,古訓,表達普遍真理並在長期使用過程中獲得確認的格言,特點是古老這個詞首次是以,這個詞組形式收錄於,牛津英語詞典,格言,諺語"
added,"附加的,額外的,進一步的"
admit,"允許進入,承認,接納,容納,容許有,開向,承認"
adobe,"泥磚,土坯,未燒過的粘土與稻草經風干做成的磚,用於修飾名詞,例,土磚房屋,土磚牆,區,住所,住處,避,躲避的地方住所,地,用地上的土做的土坯,美國公司,是著名的圖形圖像和排版軟件的生產商,磚坯,土磚,美國公司,是著名的圖形圖像和排版軟件的生產商"
adopt,"採取,採納,選擇,視力,希望"
adore,"崇拜,愛慕,口語,喜愛"
adorn,"記裝飾,裝飾,例,她喜歡佩戴珠寶,根裝飾,參,賄賂,華麗的,裝飾"
aegis,"記讀遺址既然是遺址,譬如圓明園和故宮,當然需要保護,保護,庇護,例,兒童福利現在處于法庭的保護之下,源原指希臘神話中宙斯的帝盾或胸鎧,羊皮盾,后來成為雅典娜的象征,盾中心裝有美杜莎的頭像引申為保護,庇護,希神羊皮盾,保護,庇護,支持"
