aerie,"鷹巢,高處的房子,高處的城堡"
terse,"簡潔的,簡明的,類,格言的特點是簡短夸張法的特點是夸大的,放縱不會抑製多話不會簡潔,簡潔的不多余吝嗇的不花費"
testy,"記,考試,總是考試,不耐煩的,性急的,不耐煩的,容易被激怒的,類,易怒的容易被激怒冒犯可馴服的容易被控製不情愿的容易被拒絕順從的容易被影響,反,和藹可親的,虛心接受新思想的,易怒的,暴躁的"
theft,"盜竊,盜竊罪,贓物"
there,"在,那裡,虛主詞,表示某人物之存在或某事之發生"
these,"形容詞,這些,的複數,代名詞,這些"
thick,"厚的,密,濃,粘稠的,混濁的,多霧的最厚的部分,最激烈處,笨蛋,厚"
thing,"物,東西,所有物,事,事情,事件,局面,事業,舉動,行動,題目,主題,細節,要點"
think,"想,思索,想出,使想,想得,想要,打算,認為,以為,料想,感到,想,思考"
thorn,"刺,棘,有刺植物,惱人的事,或人"
those,"形容詞,那些的,那,代名詞,那些"
throw,"投,擲,拋,發射,摔下,匆匆穿,拋棄,擺脫,施加,丟,擲,拋投擲,擲骰子"
thumb,"拇指,一拇指的寬度,用拇指翻動,笨拙地擺弄,用拇指翻書,迅速翻閱"
tight,"緊的,牢固的,密封的,嚴厲的,醉醺醺的,美俚關系緊密的,親昵的"
timid,"膽小的,易受驚的,害怕,恐懼"
tined,"尖的,尖頭突出的"
tinge,"記源于,色澤,給,淡淡地著色,染色,給,著上少量的色彩,反,無色的,淡色的,淡色,色調,些微氣味,氣息,風味,微染,使帶氣息"
tired,"疲勞的,累的,厭倦的,厭煩的"
title,"標題,書名,扉頁,權利,資格,冠軍,字幕,賦予頭銜,頭銜,名稱"
toady,"拍馬屁的人,源,來自,吃蟾蜍的人,此人是江湖郎中,的助手,將,有毒的蟾蜍吃下後,再由江湖郎中用萬靈丹,給救回"
token,"形容詞,作為標誌的,象徵性的,名詞,標誌,象徵,代價券,籌碼"
toned,具有某種音質的
tongs,"夾子,鉗子,用來抓取的工具,類,鉗子用來抓取卷軸用來旋轉,鉗子,夾具"
topic,"題目,標題,論題,話題"
total,"總數,全體,合計,全體的,總的,全然的,總計,共計為,合計,統統,羨俚將,汽車,徹底撞毀,被徹底撞毀,徹底完蛋"
totem,"圖騰,標志,徽章"
touch,"觸覺,接觸,碰,觸,機靈,輕觸,格調,少許,缺點,彈力,接觸,觸摸,觸及"
toxic,"形容詞,毒,性,的,有毒的"
toxin,"毒素,一種蛋白質,能夠導致疾病,也可導致生成抗體或抗毒素,類毒液中含有毒素牛奶中含有營養"
trace,"痕跡,蹤跡,微量,跡線,繩,追蹤,回溯,描繪,上溯,沿路走"
track,"軌跡,足跡,路,軌道,磁軌,途徑,循路而行,追蹤,通過,用纖拉,追蹤"
trade,"貿易,商業,交易,生意,職業,顧客,信風,交易,買賣,經商,對換"
trail,"蹤跡,痕跡,一串,尾部,小徑,尾,持槍姿勢,拖,尾隨,追蹤,落後於"
trait,"名詞,特徵,特點,特性,少許"
treat,"宴請,款待,視為,對待,論述,治療,款待,交涉,談判,作東"
trend,"趨勢,傾向,方位,傾向,轉向趨勢"
trial,"審判,試驗,艱苦,麻煩事,考驗,嘗試的,試驗性的"
trick,"詭計,欺詐,謀略,惡作劇,癖好,決竅,戲弄,欺騙,裝飾,哄騙"
trite,"陳詞濫調的,因久用或重複而不能引起興趣的,反,有新意的,不迂腐的,新鮮的,無經驗的,未陳舊的"
trope,"比喻,修辭"
truce,"停戰,休止,停戰,休止,以休戰結束"
trunk,"幹線,樹幹,軀幹,主幹,象鼻,箱子,槽內洗選,樹幹的,軀幹的,幹線的"
truss,"用木棒或金屬棒做成的,堅硬的構架,用于支撐屋頂等結構,類壓艙物使穩定托架支持,截去,園錐等的,尖端,修剪,樹等,把,截短,截短的,羽,葉,平截的,平頭的"
trust,"信任,信賴,相信,委託,職責,信心,信託的,被信託的,信賴,信任,相信"
truth,"真理,真實,真相,真實性,事實"
tuber,"記,突起的,隆起的,源于,腫塊,塊莖,球根,身體內的,腫塊,植塊莖,突起,解結節"
tumid,"記源于,球莖,腫塊,腫塊,腫起的,腫脹的,腫脹的,腫大的"
turns,輪流
tutor,"家庭教師,導師,助教,監護人,當,的教師,教,指導,約束"
twist,"一扭,扭曲,曲折,歪曲,螺旋狀,手法,擰,扭曲,撚,編織,使扭轉,纏繞,盤繞"
types,"類型,作為代表,打字"
ulcer,"潰瘍,胃潰瘍"
unify,"動詞,統一,聯合,使一致"
unite,"聯合,合併,混合,使聯合,統一,使粘合,使結婚"
units,零件
until,"直到,在,以前,迄,之時,直到,在,以前,迄,時"
upset,"煩亂的,不高興,顛覆,推翻,擾亂,使不適,使心煩,翻倒"
urges,NotFoundAnyMeanings
using,正在用
usual,"通常的,平常的,普通的,常見的"
usurp,"篡奪,做霸佔行為,奪取,篡奪,侵佔"
usury,"高利貸,記,金庫,使用金庫,代表使用,高利貸"
utter,"形容詞,徹底的,十足的,絕對的,動詞,發出,聲音等,說,講"
vague,"形容詞,形狀等,模糊不清的,曖昧的"
valid,"有確實根據的,有效的,正當的,正確的"
value,"計算結果價值,重要性,價格,購買力,評價,估價,評價,估價,重視"
valve,"活瓣,閥,活門,裝閥,用閥調節"
vapid,"無味的,走了味的,字根,水氣,記法,像水氣的,索然無味"
vault,"地窖,金庫,保險庫,用作貴重物品的安全存放,類食品柜儲藏食品地窖儲藏貴重物品"
vaunt,"吹噓,比出勝利的姑姑,愛吹噓的姑姑"
venom,"蛇,蜘蛛或蠍等動物的,毒液,類,毒液含有毒素牛奶含有營養成分,撫慰劑是無毒的毒液是有毒的"
verve,"藝術作品的,神韻,氣韻,人,生機,尤指在文藝工作中"
vexed,"焦急的,生氣的,為難的,惱怒的,爭論不休的"
vicar,"教區牧師,教堂牧師,傳教牧師,代理人"
views,NotFoundAnyMeanings
