abandon,"動詞,放棄,名詞,放縱,放任"
polarize--0,"使兩極分化,使截然對立,辯論變得兩極化了,看起來沒有中間立場"
polarized,極化
polarizes,使兩極
polemic,"激烈的爭辯,愛好辯論者,爭辯的根,戰爭類愛爭論的人是好爭論的愛辱罵的人是好漫罵的,挑起論戰的反,撫慰調和的"
polemical--0,"辩论法的,辩论术的,好辩的,挑起争端的"
policy,"政策,方針,策略,保險單"
polish,"光澤,優雅,精良,擦亮,磨光,推敲,發亮,變光滑,波蘭的波蘭人"
polished,"磨光的,擦亮的,完美的,精良的,優雅的,使光滑,擦亮,的過去式和過去分詞"
polishing,拋光
polite,"形容詞,有禮貌的,殷勤的,文雅的,上流的"
politeness,"記,有教養的,文雅的,禮貌,優雅,類,掩飾不是誠實故意怠慢不是禮貌,有禮,優雅"
politic,"精明的,有策略的,運用謹慎,權宜手段的,類,精明的人不會冒犯冷淡的人不會合作,反,不懂世故的,不明智的,多管閑事的"
political--0,"政治的,政治上的政黨的,黨派的對政治有興趣的,政治上活躍的"
poll,"民意調查,民意測驗,得票數,人頭,人頭稅,選舉名冊,投票,作民意調查"
pollen,"植物,植物學花粉,授粉給,傳粉給,用花粉掩蓋"
pollinate,"怕冷給,花,植物,傳授花粉"
pollster,"記,民意調查,人,民意測驗家,民意測驗家,整理民意測驗結果的人,根,頭,點人頭,投票,類,鼓吹者善于鼓吹民意測驗家善于拉選票,民意測驗專家,整理民意測驗結果的人"
polyglot--0,"通數國語言,數國語言的通數國語文的人,用數國語文記載的書"
pomposity,"自大的行為,傲慢,自命不凡"
pompous,"自大的,愛炫耀的,浮華的類,夸大言辭武斷話是夸大自負的攻擊性演說是批評的胡說是荒謬的夸張法是夸大的"
poncho,"記讀胖瘦,無論胖瘦,下雨都要穿雨衣,中間有一洞來伸頭的,斗篷,雨衣,雨布"
ponder--0,"沈思,默想,細想,衡量,估量"
ponderable,"形容詞,有重量的,有價值的,值得一想的,名詞,值得考慮的事物"
ponderous--0,"笨重的,因重量或體積太大而難以操作或不靈便的,反,輕而薄的,輕快活潑的,輕的,輕微的,輕快活潑的,輕快的"
pontifical,"羅馬教皇,指示或有關的主教或主教"
pontificate,"教皇,自大武斷地做,說類驕傲地說對說驕傲地走對走,夸大言辭武斷話是夸大自負的攻擊性演說是批評的胡說"
poor,"貧窮的,貧乏的,不幸的,可憐的,拙劣的,卑鄙的,乏味的,無聊的"
populace,"平民,大眾,一些研究顯示從事核能工業的工人比一般人易患癌症"
popular,"流行的,通俗的,有名望的,受歡迎的,民眾的,大眾的,人民的"
population--0,"棲居於某地區的,生物總量,人口"
populous,"人口眾多的,人口稠密的"
porcelain,"瓷器,瓷,瓷制的,精美的,脆的,易碎的"
porcupine,"記,豬,松針,有松針的豬,豪豬,毛孔,粗,毛孔裡有粗針的豬,豪豬,豪豬,箭豬,嚙齒類動物之一,其粗硬的毛中有長而尖的刺,參,豬肉,動豪豬,箭豬"
pore,"毛孔,小孔,氣孔,熟讀,熟視,細想,鑽研,沈思"
porous,"可滲透的,多孔的類可滲透的可以透過液體透明的可以透過光易碎的容易被打破多孔的容易被穿透反,不能滲透的,難以滲透的"
port,"港,港市,口岸,機場,航空站,避風港,避難場所,船,飛機的,左舷,船的,舷窗,船的,艙口,戰車,戰艦,工事等的,槍眼,砲眼,機汽門,風門,通道,電腦接口,紅,葡萄酒,原產葡萄牙的帶甜味的深紅葡萄酒,姿勢,斜持槍姿勢,事情的,意義,涵義,轉,舵,向左,持,握,雙手斜持,步槍等,轉舵向左,左舷的,向左舷,向左"
portend--0,"預示,預先警告,記法,向前拉,伸"
portentous--0,"凶兆的,預示凶事的,怪異奇特的類怪異奇特的使吃驚反,規則有秩序的"
portfolio,"公事包,資料夾,投資組合,部長或大臣職務"
portion,"部分,一份,命運,嫁妝,將,分配,分配,給,嫁妝"
portray,"描繪,描寫,描寫,的肖像,逼真地描寫"
portrayal,"描寫,描畫,繪畫,肖像"
portraying,"畫,人物,風景等,用語言,描寫"
pose,"姿勢,姿態,裝模作樣,偽裝,擺姿勢,裝模作樣,假裝,使擺好姿勢,提出"
poseur,"記,擺,姿勢,裝模作樣的人,裝模作樣的人,為給人留下印象而故作姿態,性格或風度的人,參,姿勢,擺好姿勢,平衡,鎮靜,類,裝腔作勢者不真誠隱士不群居,裝摸做樣的人不是真誠的隱居者不是群居,裝模作樣的人,裝腔作勢的人"
posing,"身體呈現的,樣子,姿勢"
posit--0,"確實的,明確的,積極的,肯定的,正的,陽性的,完全的十足的正片"
position,"位置,地位,身分,形勢,姿勢,立場,職位,狀態,陣地,安置,決定,的位置"
positioned,定位的
positive,"確實的,明確的,積極的,肯定的,正的,陽性的,完全的十足的正片"
posse,擁有
possessed,"著魔的,瘋狂的,拼命地,猛烈地,用於責問某人為什麼做壞事,蠢事或意想不到的事等,究竟是為什麼,怎麼會這樣鬼迷心竅"
possessing,"擁有,持有,具有,佔有"
possession,"擁有,具有,佔有,控制,所有物,所有權,財產,著魔,著迷"
possessions,"財產,所有物"
possibilities,可能性
possible,"可能的,潛在的,合理的可能性,可能的事物"
possibly,"副詞,也許,可能"
poster,"名詞,招貼,海報,廣告,畫"
posthumous--0,"死後的,源,死後的,例,解,有些作家,藝術家在世時默默無名死後聲名大噪,這就是,反義字記,生前的,字根"
postpone,"延遲,使延期,緩辦,擱延,延緩發作"
postulate,"假定,為前提,聲稱對,擁有主權區,勸誡,忠告,反,否認為假"
posture,"姿勢,態度,情形,形勢,作,的姿勢,作姿勢"
posturing,"故作姿態,裝模作樣擺姿勢,並非由衷的言行"
potable,"飲品,尤指有酒精飲料,適於飲用的"
potation,"飲,喝,飲料,尤指酒"
potency--0,"力量,影響力,效力,這種新藥的效力目前還不清楚"
potent--0,"有力的,有效的,強而有力的,有影響力的"
potentate,"統治者,當權者參,力量,有力的,有潛力的,類鑒賞家有技術統治者有權力反,學科,臣民,無勢力的人"
potential,"潛在性,可能性,潛力,潛能,勢,位,有潛力的,可能的,潛在的"
potentially,"潛在的,可能的,的衍生的副詞"
potentiate,"使有權力,使,藥物,更有效力,反,使無效,加強"
potpourri,"記,罐子,倒,罐子倒一地,大雜燴,文學作品的集錦,大雜燴,花香,肉菜雜燴"
pottery,"陶器,陶匠的作"
pounding,"猛擊,重擊聲,不斷重擊,心跳徹底擊敗,連遭轟擊"
pour,"流出,傾瀉,驟雨,倒,灌,注,傾瀉,訴說,傾吐,傾瀉,蜂湧而來,下大雨"
pout,"撅嘴,板臉,生氣,大頭魚類,撅嘴,繃臉"
poverty,"貧窮,貧困,貧乏,缺少"
power,"電源,能力,體力,力量,勢力,動力,權力,權限,乘冪,功率,使,有力量"
powerful,"強而有力的,強大的,有權威的"
powerfully,"有力地,強烈地"
powers,權力
practicable,"可實行的,實用,際,的,可使用的"
practical,"實際的,實踐的,實用的,應用的,有實際經驗的"
practice,"實踐,練習,實行,慣例,習慣,開業,實踐,實行,練習,實習,開業"
practices,"實行,實施,實踐"
practicing,"開業的,在從事工作的"
practitioner,"從事者,實踐者,開業者,尤指醫生,律師"
pragmatic,"忙碌的,活躍的,實際的,國事的,實用主義的"
pragmatism--0,"實用主義,務實思想,實用主義取代政治教條後,市議會的工作更有效了"
prairie,"廣闊而無樹木的,大草原類白化病缺乏色素大草原缺乏樹"
praise,"贊美,稱贊,崇拜,稱贊,歸榮譽於,贊美,吹捧,贊揚,表揚"
prank,"開玩笑,惡作劇,戲謔,盛裝,裝飾,打扮,打扮漂亮"
prate,"毫無目的地,瞎扯參,閑聊,類閑聊是無目的地說閑逛是無目的地走"
prattle,"小孩般说话,唠叨,闲聊,空谈,孩子气的话,无聊话,连续而无意义的声音"
pray,"請求,懇求,祈禱,祈求,請求,懇求,禱告,祈禱"
prayer,"祈禱,祈求,請求,懇求,禱文,禱告者,懇求者"
preach,"傳道,講道,說教,宣講,鼓吹說教,佈道"
preamble,"書,演講,前言,序言,事情的先兆"
precarious,"不穩定的,不安的,危險的,祈禱需要祈禱不穩定,不安的"
precariously,"不安全的,搖搖欲墜"
precede--0,"領先,比,先,順序位置或時間,在,之前"
precedence,"由于其重要性或有高地位而得到的,優先權參,領先于,在,之前,類先占取得優先權獲得取得所有權"
precedent,"在先的,在前的,先例,判例"
precedes,"順序,位置或時間上,處在,之前"
precept--0,"戒律,規則,箴言,格言,先,拿先拿到宗教的規則"
precipice,"記,前面,落下,前面突然落下,懸崖,懸崖,類,斷崖很險峻狹谷很狹窄,反,平坦的,懸崖"
precipitant,"在思想,行動上,倉促的,使沉澱生成的,沉澱劑,根,掉下,反,溶劑,有償付能力的,倉促的"
precipitate--0,"加速促成,使提前或突然發生,使,水蒸汽,凝結形成降水,使沉澱,魯莽的,突然發生的,沉澱物,所有意思都要背,反,延遲,使減速,拖拉的,深思熟慮的,故意的,阻止"
precipitation,"匆促,倉促,魯莽沉澱,析出,雨等,降落,某地區降雨等的量"
precipitous,"陡峭的,倉促的反,漸漸平緩,同高的,平坦的,慢慢傾斜"
precise,"精確的,精準的,恰好的"
precisely,"副詞,精確地,清晰地,確實如此"
precision,"準確性,精確性,精密度,校準反光鏡需要極高的精確性"
preclude--0,"預先排除,預防,阻止,妨礙"
precocious--0,"早熟的,早成的,記法先前煮很多的早熟的"
precursor--0,"先驅,先兆反,后繼者"
predate--0,"把,的日期填得早於實際日期,在日期上早於"
predator,捕食其他動物的動物
predecessor,"前任,前輩,原先的東西"
predestine,"記,前,注定,提前注定,通過神意,預先注定,參,預定,反,隨機發生,預定,注定"
predicament--0,"困境,窘境,記法,預先,命令,預先被命令了左右為難困境,窘境"
predict,"動詞,預言,預料"
predicting,預測
predicts,預測
predilection--0,"偏袒,愛好,記法,前,選擇"
predisposed,"先有傾向的,先有意向的"
predisposition--0,"傾向,氣質,易患病的體質"
predominant--0,"佔優勢的,佔支配地位的,記法先前有領土的"
predominate,"支配,統治,數量,力量等,佔優勢"
preeminent--0,"卓越的,杰出的,超群的,卓越地,杰出地,超群地"
preempt--0,"已先買權取得,取代,記法,預先,買,先買已先買權取得"
preen,"整理羽毛,人過分,打扮修飾,參,整理羽毛,類,打扮表示自我滿足冒怒氣表示憤怒,自然的人不會假裝艷俗的人不會打扮禮貌的人不會怠慢"
preface--0,"序文,緒言,前言,作序,寫前言,給,作序,以,開始"
preference--0,"偏愛,優先,優先權,優先的選擇"
pregnancy,"懷孕,豐富,多產,意義深長"
pregnant,"懷孕的,重要的,富有意義的,孕育的"
prehistoric,"史前的,文字記載以前的,不合時宜,過時的"
prejudice,"偏見,成見,損害,侵害,使,抱偏見,損害,不利於"
prejudiced,"記源于,偏見,前,判斷,預先判斷,偏見,有偏見的,有成見的,反,無私的,懷偏見的"
prejudices,偏見
preliminary--0,"初步行動,准備,初步措施,初試,初步的,開始的,預備的"
preliterate,文字發明以前的
prelude,"記,前,玩,前面玩的音樂,序幕,前奏,序幕,先于較重要部分的介紹性表演,前奏,參,未成熟的,反,樂章尾聲,先驅,前奏,序幕"
premature,"早熟的,過早的,不按時的早產兒,早發"
prematurely,"過早地,貿然地"
premeditate--0,"預謀,預先考慮"
premeditated,"記,前,思考,提前思考的,有預謀的,預謀的,以審慎的目的,預先考慮和計劃為特征的,反,即時的,自發的,預想的,預謀的"
premiere,"初次公演,初演主角,初次的演出,突出的,杰出的"
premise,"前提,房屋,提論,預述,假定,作出前提"
premium,"額外費用,獎金,獎賞,保險費,貨幣兌現的,貼水"
premonition,"記,前,警告,提前的警告,不祥的預兆,不祥預感,前兆"
preoccupation,"先取,先入成見,偏見,出神"
preparation,"准備,預備,配製,配置品,准備工作"
prepare,"准備,預備,使有准備,為,作準備,訓練,制訂,預備,作好准備"
preponderant--0,"佔優勢的,多數的,音樂在學校教育中並未發揮很重要的作用"
preponderate,"重量上,重要性上,壓倒,超過"
preposition,"名詞,介系詞,前置詞"
prepossessing,"記,前,擁有,提前讓人擁有好感,有吸引力的,個性等,給人好感的,引人注意的,參,前置詞,引人注意的,灌輸"
preposterous,"荒謬的,與本性,理性或常識相反的,反,明白事理的,有基本常識的"
prerequisite--0,"首要事物,必要事物,預先,必須的"
prerogative,"特權,記法,預先,要求,預先要求的權利,特權"
presage--0,"預感,預兆,預知,成為,的前兆,預示,預言,預言"
presages,預示
prescience,"預知,參,全知的,上帝,類,有先見之明的知道未來的東西有學問的知道深奧的東西,反,近視"
prescient--0,"預知的,有先見之明的,有見識的"
prescribe,"規定,命令,指示,囑咐,開處方"
prescribed,"規定的,法定的,處方的"
prescription,"處方,藥方,指示,命令,規定,時效,根據時效取得的權利"
present,"目前的,現在的,出席的,在場的,贈送,呈現,提出,提交禮物,禮品,贈品"
presentation,"贈送,呈現,提出,提交,發言,演出"
presented,呈現
presenter,"贈送的,呈獻者,提出者"
presenting,呈現
preservative,"記源于,保護,防腐劑,有保護能力的,參,儲備,保存,類,審查防止信息防腐劑防止腐爛錨防止飄流密封防止泄漏,防腐劑"
preside,"主持,負責,指揮占據當權的地位,記前,坐坐在前面主持"
press,"壓,按,印刷,壓力,擁擠,緊握,新聞,壓,壓榨,緊抱,逼迫,壓,逼迫,擁擠,受壓"
pressing,"緊迫的,緊急的,切實的壓,榨,沖壓,唱片"
pressure,"壓,榨,按,強制,壓力,壓迫,壓強,迫使,使增壓,密封"
prestige,"聲望,威信類使名聲下降降低聲望削弱使衰弱降低精力降低特權潑冷水降低熱情減少長度"
prestigious,"有威望的,有聲望的,受尊敬的"
presume--0,"相信,推測,自作主張,放肆,記法先前拿事先拿相信,推測,自作主張,放肆"
presumption,"名詞,冒昧,放肆,自以為是,傲慢,未被邀請而去參加宴會是冒昧的,推測,假定,設想"
presumptive,"根據推定的,假定的,給與推定之根據的"
presumptuous--0,"自以為是的,專橫的,放肆的,冒失的"
presumptuously,毫無忌憚地
presumptuousness--0,"專橫,傲慢"
presupposition,"預想,假定,前提"
pretend,"假裝,假託,裝扮,假裝,裝作"
pretended,"偽的,假的,虛偽的"
pretender,偽裝
pretending,"假裝的,偽稱的,嬌飾的"
pretense,"虛假,偽裝,自大,優越感"
pretension,"炫耀,自負,要求,主張,借口,驕傲"
pretentious,"誇浮的,炫耀的,自命不凡的"
preternatural--0,"异常的,奇特的,超自然的,不可思议的"
pretext,"記,前,課文,提前想好的文章,借口,借口,借口,托辭,借口"
prevail,"壓倒,占上風,占優勢,說服,勸說"
prevalent,"流行的,盛行的,一般的,普通的,廣布的,蔓延的"
prevaricate,"支吾其詞,說謊,記法,預先,變化,預先想好變化"
prevarication,"支吾其詞類委婉避免冒犯支吾其詞避免真相甜言蜜語為了哄騙支吾其詞為了欺騙反,說真實話,誠實"
prevent,"預防,防止,避免,阻止,妨礙"
preventing,形防止的
prevents,防止
preview,"動詞,試演,試映,名詞,預習,預告片"
previous,"早先的,前面的,過急的,早先,前面"
previously,"先的,以前的,的衍生的副詞,副詞,事先,以前"
prey,"動詞,捕食,掠奪,名詞,被捕食的動物,犧牲者"
prickly,"易怒的,長毛,尖尖的,記像仙人掌的樣子,很多刺"
pride,"自豪,自尊心,驕傲,自滿,傲慢,引以自豪的人或物,使,自豪"
priest,"名詞,牧師,神父"
prim,"規規矩矩的,呆板的,拘謹的,弄整齊,把嘴閉緊,一本正經"
primacy,"卓越,第一位,字根,第一"
primary,"形容詞,主要的,初級的,名詞,次序,質量等,居首位的事物,原色,初選"
primate--0,"地區內,最高階的主教,靈長類動物,類"
prime,"形容詞,最初的,原始的,基本的,動詞,灌注,裝填,作準備,名詞,最初,初期"
primitive,"原始人,早期藝術家,原始的,上古的,舊式的"
primordial,"記,最早的,順序,最初的,原始的,反,最近的,原始的"
primp,"記,最早的,最好的,屁,把屁股向最好處打扮,過分打扮,打扮,婦女過分注意細節地修飾或整理,類,刻意打扮是虛榮的表現沾沾自喜的看是自鳴得意的表現,打扮,裝飾"
principal,"最重要的,主要的,首要的,資本的,本金的長,負責人,資本,本金"
principle,"原則,原理,主義,信條,機器等的,原理,構造,工作方式,道義,節操,起源,本源"
principled,"記源于,法則,原則,有道德原則的,類,道學氣的是過分講究原則的迂腐的是過分講究學問的,原則性強的,有,道德,原則的"
principles,"原則,原理"
prior,"形容詞,在先的,在前的,居先的,副詞,在前,居先,名詞,修道院院長或副院長"
priority,"優先級優先權,優先順序,優先,前,依次"
prism,"稜柱體,角柱體,稜鏡"
pristine--0,"純潔的,未被文明腐蝕的,新鮮的,原始的類未被文明腐蝕的不會腐爛穩定的不會波動靜止的不會運動苛求的不容易滿意摻假的不容易純淨"
private,"私人的,秘密的,私立的,隱蔽的士兵,陰部私人的"
privately,"私下地,不公開地"
privation,"缺乏,窮困,喪失,被剝奪了某物的狀態"
privilege,"特權,特別恩典,基本人權,特免,給與,特權,特免"
privileges,"特權,優特"
prize,"獎賞,獎金,獎品,戰利品,捕獲,橫財,得獎的,珍視,估價,捕獲,撬,撬動"
probable,"有希望的候選人,可能的事情,很可能的,大概的,象真實的"
probe,"在偏遠的地區對陌生的事物或可疑的活動進行,探索,探測參,試用期,察看,官方批準,認可,類挑剔是過分批判探索是過分調查,民意測驗專家,整理民意測驗結果的人"
probing,"探索的,尋根究底的,尋求真理的,問題,深入銳利的"
probity--0,"正直,完全無可懷疑的誠實,參,鼻子,探索味道的東西類公正的不會有黨派偏見貪污的不會正直反,卑鄙,狂妄,欺騙"
problem,"問題,難題,成問題的,難處理的"
problematic,"成問題的,有疑問的,值得懷疑的,未知的,未解決的"
proboscis,"像,長鼻,昆蟲等,吸管"
proceed,"進行,繼續進行,繼續下去,開始,著手,出發,發出,出於"
proceeding,"開始,著手,的現在分詞,名,進行,議項,學會等的,會議錄"
proceeds,"買賣等的,收入,收益"
process,"程序,進行,過程,加工,處理,對,處置,對,起訴,經加工的,三色版的"
processes,"處理,過程"
procession,"一,長,列,一,長,排,隊伍"
proclaim--0,"宣佈,公告,宣言,表明,贊揚"
proclamation,"宣布,宣言,聲明書"
proclivity--0,"癖性,尤指壞的傾向,名人的性癖好"
procrastinate,"出于習慣性的粗心或懶散,耽擱,拖延類含糊其詞逃避承諾拖延逃避行動"
procrastinating,"拖,字訣"
procrastination,"引延,延期"
procreate,"記,向前,創造,生育兒女,生育,生,兒,女,生殖,產生,生殖,生育"
proctor,"記,前面,磕,人在前面磕瓜子的人,一邊監考一邊磕瓜子,學監,學校裡在考試時和在宿舍裡監督學生者,類,學監監督揮霍者揮霍,代理人,代書,律代訴人"
procure--0,"取得,獲得,記法,向前,跑"
procurement,"採購,獲得,向前,留意,過程"
prod,"刺针,刺棒,刺激,激励,刺激,促使,行动,用手指或尖物戳,捅"
prodigal--0,"極度揮霍浪費的,揮霍者類學監監督揮霍者揮霍愛抱怨的人抱怨揮霍的人花錢吝嗇的人節省吝嗇鬼很吝嗇揮霍者很"
prodigious,"尺寸,力量或程度異常,巨大的反,輕微的"
prodigy,"神童,具有異常的天賦或力量的人,類神童是神奇的人奇跡是神奇的事"
produce,"生產,製造,產生,顯示,出示,提出,上演,演出產物,產品,農產品"
produced,畸形地伸長的
producing,生產
product,"產品,成果,成品,作品"
productive,"能生產的,有生產價值的,多產的"
productivity,"名詞,生產力,生產率"
profanation,"瀆神,亂用不敬的言語"
profane--0,"褻瀆,不尊敬地對待,褻瀆神靈的,貶低或玷污神聖的,類不可穿透的不能刺穿神聖的不能褻瀆反,尊敬,虔誠的對待"
professed,"明言的,公然的,宣誓後入教的"
profession,"職業,表白,聲明,公開宣佈"
proffer,"獻出,贈送,建議,記,向前,獻出,贈送"
proficient--0,"熟練精通的,在藝術,技能或學術方面有造詣的,專家區,足夠的,缺乏的,類討厭的人討厭專家精通反,不適當的,無能的,不合格的"
profile,"動詞,畫側面像,描出輪廓,寫傳略,名詞,側影,輪廓,人物簡介"
profit,"利潤,贏利,利益,有益,獲利,賺錢,有益於"
profiteer--0,"記源于,利潤,奸商,供應短缺時牟取暴利者,奸商"
profligate--0,"放蕩的,肆意揮霍的,放蕩者類揮霍的沒有償還能力善變的沒有忠心多話的喜歡說話揮霍的喜歡花錢反,吝嗇節儉的"
profound--0,"深度的,深切的,深遠的知識淵博的,見解深刻的,深奧的"
profundity,"知識,感情或意義,深奧,深刻,參,沒有理由的,沒有根據的,類,笨拙的沒有技巧油嘴的沒有深度,反,表面性的事物,淺薄,深度,深處,深奧,深刻"
profuse--0,"大量的,極其豐富的,充沛的,浪費的"
profusely,"大量地,豐富地"
profusion,"極其豐富的狀態,揮霍奢侈,反,極小量"
progeny,"記,前,產生,前人所生下的,后代,后代,子女,后裔"
prognosis--0,"預知,醫生對病情發展的預測,展望,預測,前,知道"
progress,"前進,進步,進展,前進,進步,進展"
progression--0,"事件的连续,一系列,发展,进展,数级数"
prohibit,"禁止,阻止,不准許"
prohibition,"禁止,禁令,禁酒,禁酒運動"
prohibitive,"禁止使用或購買的,禁止性的,指價格等,高得買不起的禁止的"
project,"項目,方案,設計,規劃,工程,科研項目,設計,規劃,投擲,發射,投射,使凸出"
projectile,"記,向前,扔,向前扔的東西,拋射物,拋射物,被發射出去,扔出去或被推動的物體,參,投影儀,類,艦隊由船只組成槍炮連發由射彈組成,射彈,發射的"
projecting,"突出的,凸出的"
projection,"發射,計劃,突出部分,設計,推測"
projector,"設計者,投射器,放映師"
proliferate--0,"增殖,激增,擴散,使激增"
prolific,"多產的,多結果的反,不生育的,貧瘠的"
prolix--0,"冗長的,開頭,解,此字有負面意涵,形容說話,或寫作,過於冗長,衍,過多"
prolixity,"令人厭煩地羅嗦,反,極為簡潔,簡潔,簡明,稀薄,冗長,羅嗦"
prologue,"記,前面,話,前面說的話,開場白,開場白,序幕,介紹戲劇而背誦的詩,類,小說的前言法律的序言,反,結束語,收場白,序言"
prolong,"動詞,延長,拉長,拖延"
promenade,"記,向前,男人,男人向前,散步,作為社交活動在公共場合的,散步,散步,散步,散步的"
prominent--0,"凸出的,顯著的,卓越的,重要的,著名的"
promise--0,"允諾,允諾的東西,約定的事項,允諾,答應,給人以,的指望,有,的可能"
promote,"促進,提升,發起,創立,宣傳,推銷"
promoting,"宣傳,推廣"
prompt,"提示,提醒,提白,付款期限,迅速的,敏捷的,立刻的,提白員的,激勵"
promptness,"敏捷,機敏,迅速"
promulgate--0,"頒佈,法令,宣傳,宣揚"
prone,"傾斜的,有,傾向的,易於,的"
pronounced--0,"明顯的,明確的,有人告訴我說,我在說法語時有明顯的英國口音"
pronouncement,"聲明,財政部長在最近的公開發言中對經濟復甦持更樂觀的態度"
proof,"証據,証明,試驗,檢驗,考驗,不能透入的,証明用的,防,的"
proofread,"校對,校勘"
prop,"動詞,支撐,維持,架,擱,名詞,支柱,支撐物,後盾,道具"
propagate,"繁殖,傳播,傳送,繁殖,蔓延"
propagation,"繁殖,反,消滅,毀滅,動植物,繁殖,聲波,電磁輻射等,傳播"
propel--0,"推進,推動,激勵,驅使"
propeller,"名詞,螺旋槳,推進器"
propensity,"倾向,习性,癖好,偏爱"
proper,"適合的,適當的,恰當的,合乎體統的,特有的,固有的,本來的,完完全全的"
prophecy,"記,前,語言,前面的語言,預言,預言,參,預防疾病的,避孕工具,類,良師指導預言者預言,預言,預言能力"
prophesy,"先,預言,先知,預言家"
prophet,"預言者,先知,提倡者"
prophetic--0,"預言的,預料的,預見的,預示的"
propinquity,"記,向前,拼,沖向前拼命,接近,接近,親戚,接近"
propitiate--0,"討好,撫慰,安撫被侵犯的一方,類不可更改的無法改變不可屈服的無法征服不可安慰撫的無法勸解反,敵意的"
propitious--0,"有利的,記法,形近恰當的,多,的,每件事情都很恰當有利的"
proponent--0,"某事業,理論等的,支持者,擁護者"
proportional,"與,成比例的,重量與大小是成比例的"
proportionate,"相稱的,成比例的,適當的,使相稱,使成比例,使適應"
proportions,比例
proposal,"名詞,提議,計劃,提案"
proposition,"動詞,向,女性,求歡,名詞,事業,提議,主題,求歡"
proprietary--0,"私有的,專賣的,有財產的,所有權人的"
propriety,"禮節,適當類犯罪不道德傲慢不禮貌過分注意禮節過分挑剔質量無禮的人沒有禮貌魯鈍的人沒有敏感"
propulsion,"記,向前,推動,向前推,推動力,推進力,一種驅動或推進的力量,參,拒絕,擊退,沖動的,推進,推進力"
prosaic,"平庸的,無創意的,無聊的,散文的"
proscribe--0,"禁止,剝奪,的公權,放逐"
proscription--0,"剝奪公權,放逐,禁止,排斥"
proscriptive--0,"限制的,禁止的,規定的,律因時效而獲得的"
prose,"散文,我一直偏好讀散文而不是詩歌"
prosecute,"進行,實行,從事,告發,起訴,告發,起訴,作檢察官"
prosecution,"進行,經營,檢舉,起訴"
proselytize--0,"使改變宗教,政治信仰或生活方式,他也非常熱衷於改變他人的信仰,憑著這種熱情他寫了許多政治小冊子"
prospect--0,"景色,希望,展望,勘探,尋找,勘探,有前途"
prospective--0,"預期的,盼望中的,未來的"
prosperity,"興旺,繁榮,昌盛,成功"
prosperous,"成功的,繁盛的,順利的,幸運的"
prostrate,"記,前,國家,對于國家的前任領導人要屈服,俯臥,俯臥的,面朝下屈服或崇拜的,反,直立的,垂直的,降伏的,沮喪的,衰竭的,俯臥的,弄倒,使屈服"
protagonist,"主演,主角,主唱者,主要人物,倡導者"
protean,"變化多端的,多變的,記法蛋白質容易變質變化多端"
protect,"防衛,保護,警戒"
protection,"保護,保衛,保護者,防護者,護照,通行証,保護貿易制度"
protects--0,保護
protest,"主張,斷言,抗議,反對,抗議書,反對,抗議,斷言,主張,拒付"
protests,"抗議,反對"
protocol,"協議草案,禮儀,擬定,為使網絡中不同系統主機能夠彼此進行通訊,所制訂的網絡管理規則"
prototype--0,"名詞,原型,標準,模範"
prototypical--0,"原型的,樣本的"
protract--0,"在時間上,延長,拖長類拖延使長度加長群聚使數量增多反,縮減,減短,刪節"
protrude--0,"凸出,伸出,吐出,使伸出,使突出"
protruding,"突出的,伸出的"
protuberance,"突起,突出,記,前,伸出,突起"
protuberant,"記,前,塊莖,塊莖,突出,身體某部分,突出的,隆起的,反,沮喪的,降低的,凹的,突出,凹,突起的,凸出的,隆起的"
prove,"証明,查驗,檢驗,勘探,顯示,証明是"
proved,諺語
provenance--0,"藝術,出處,起源,記法向前,到來"
provender,"記源于,提供,用于喂養牲畜的,草料,糧草,秣,口食物"
proverb,"諺語,格言,箴言,使成為諺語,用諺語表達"
provide,"提供,供應,規定,裝備,預備,作準備,瞻養,規定"
provident--0,"有遠見的,節儉的,區,供應,條款,參,目光短淺,浪費,反,放蕩的"
providential--0,"幸運的,未雨綢繆的,有遠見的,節儉的"
providing,"假若,在,條件下"
provincial--0,"鄉下人,地方人民,省的,地方的,偏狹的"
provincialism--0,"鄉下習氣,方言,地方風格,土腔"
provision--0,"預備,准備,糧食,食物,供應,規定,供給,食物及必需品"
provisional--0,"暫時的,臨時的反,最后確定的"
provisions,"糧食,食物供給,物資"
provisory,"記,前,看,在合同前面看的故事,附帶條件,有附帶條件的,反,無條件的,無限製的,有附文的"
provocation,"挑釁,開頭,向前,大叫"
provocative--0,"氣人的,挑撥的,刺激的刺激物,挑撥物,興奮劑"
provoke,"激怒,挑撥,煽動,惹起,驅使"
provoked,"被激怒的類進攻成功是被征服的刺激成功是被激起的,勸解"
prowess,"英勇,非凡的能力,傑出的才能"
prowl,"潛行,徘徊,悄悄踱步,潛行以覓食,徘徊,徘徊,逡巡於"
proximate,"即將來臨的,接近的,接近,接近,臨近"
proxy,"代理,代理人,委託書,代理主機,是一種在防火牆保護下的大系統中,以作為代理主機來存取"
prude,"記,小心,小心的人,過分守禮的人,讀不,粗俗的,不粗俗,過分有禮的人,過分守禮的人,過分關心自己是否是或顯得得體,謙遜或正確的人,參,謹慎小心的,類,狂熱者過分熱衷拘謹者過分得體,裝成規矩的女人,尤指在性問題上,故做正經的女人"
prudence,"謹慎小心,節儉類謹慎的人小心優雅的人文雅蠻勇的人不會謹慎傻子不會聰明反,謹慎的,精明的,傻的"
